#Release 14.4 - par P.49d (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 18 03:47:29 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_aes_map.ncd
#OUTPUT FILE:      my_aes_pad.csv
#PART TYPE:        xc5vfx70t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AF5,Sl_rdDBus<28>,IOB,IO_L10N_CC_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AF6,Sl_rdDBus<16>,IOB,IO_L9N_CC_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AF7,,,VCCO_22,,,22,,,,,2.50,,,,
AF8,Sl_rdDBus<106>,IOB,IO_L12P_VRN_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AF9,Sl_rdDBus<109>,IOB,IO_L14P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AF10,Sl_rdDBus<45>,IOB,IO_L14N_VREF_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AF11,Sl_rdDBus<93>,IOB,IO_L16P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AF12,,,GND,,,,,,,,,,,,
AF13,Sl_rdDBus<121>,IOB,IO_L2P_A23_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF14,Sl_rdDBus<51>,IOB,IO_L4N_VREF_FOE_B_MOSI_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF15,Sl_rdDBus<49>,IOB,IO_L6P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF16,Sl_rdDBus<55>,IOB,IO_L8P_D3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF17,,,GND,,,,,,,,,,,,
AF18,SPLB_Rst,IOB,IO_L8P_CC_GC_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
AF19,Sl_rdDBus<57>,IOB,IO_L6N_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AF20,Sl_rdDBus<113>,IOB,IO_L5P_FWE_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF21,Sl_rdDBus<88>,IOB,IO_L5N_CSO_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF22,,,GND,,,,,,,,,,,,
AF23,Sl_rdDBus<115>,IOB,IO_L1P_CC_A25_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF24,,IOBM,IO_L13P_21,UNUSED,,21,,,,,,,,,
